case_id,user_query,scenario_type,template_id,expected_behavior,constraints_json,difficulty,tags
CASE_078,早八赶时间，5分钟能完成的精神通勤妆怎么化,妆容方案,customer_service,输出5分钟快速通勤妆步骤；优先底妆轻修饰、眉毛、腮红/口红提气色；推荐少步骤高效率产品，不展开复杂眼妆,"{""scene"":""早八通勤"",""time_limit_minutes"":5,""style"":""精神自然"",""output"":""快速步骤""}",易,"快速妆,通勤,时间限制"
CASE_079,油皮夏天为什么越控油越斑驳？,知识问答,search,触发知识库检索；解释过度控油、保湿不足、粉体堆积、成膜和出汗出油导致斑驳的机制；给出上妆和补妆建议,"{""skin_type"":""油皮"",""season"":""夏天"",""topic"":""控油斑驳"",""tool"":""knowledge_rag""}",中,"知识问答,油皮,斑驳,控油"
CASE_080,成膜剂是不是都很伤皮肤？敏感肌要完全避开吗,知识问答,search,基于成分知识回答；说明成膜剂作用、适用场景和敏感肌风险不是绝对有害；建议根据屏障状态、卸妆能力和试敏判断,"{""topic"":""成膜剂"",""skin_type"":""敏感肌"",""concern"":""是否有害"",""tool"":""knowledge_rag""}",难,"知识问答,成膜剂,敏感肌"
CASE_081,为什么同一支粉底别人说不暗沉，我用就发灰,知识问答,search,解释肤色色调、色号深浅、氧化、底妆叠加和光线差异；给出选色、试色和妆前调整建议；避免直接断言用户肤色,"{""topic"":""粉底发灰"",""category"":""粉底液"",""output"":[""原因"",""解决建议""]}",中,"知识问答,粉底,发灰,色号"
CASE_082,痘肌能不能用高遮瑕粉底？会不会越遮越严重,知识问答,search,说明痘肌使用高遮瑕粉底的风险边界；强调不替代治疗，关注配方轻薄、卸妆清洁和工具卫生；严重炎症建议就医,"{""skin_type"":""痘肌"",""category"":""粉底液"",""concern"":""高遮瑕风险"",""medical_boundary"":true}",难,"知识问答,痘肌,高遮瑕,医疗边界"
CASE_083,口红显牙黄到底和冷暖调有什么关系,知识问答,search,解释蓝调、橘调、荧光感、明度和饱和度对牙色观感的影响；给出黄皮/牙黄人群的选色建议,"{""topic"":""口红显牙黄"",""category"":""口红"",""dimensions"":[""冷暖调"",""明度"",""饱和度""]}",中,"知识问答,口红,色彩,牙黄"
CASE_084,散粉吸进去会不会有问题？鼻炎的人怎么用,知识问答,search,基于散粉风险知识回答粉尘吸入和鼻炎人群注意事项；建议少量、远离鼻腔、压粉替代和通风使用；不制造恐慌,"{""topic"":""散粉粉尘"",""concern"":""鼻炎"",""risk"":""吸入"",""tool"":""knowledge_rag""}",中,"知识问答,散粉,鼻炎,风险"
CASE_085,新手怎么判断腮红是显嫩还是显土,知识问答,search,从肤色冷暖、明度、饱和度、上脸位置和妆容整体解释；给出新手选择低饱和腮红和少量多次的建议,"{""topic"":""腮红选择"",""user_level"":""新手"",""output"":[""判断方法"",""上妆建议""]}",易,"知识问答,腮红,新手,色彩"
CASE_086,妆前保湿和搓泥有什么关系，为什么越涂越搓,知识问答,search,解释护肤成膜、硅类叠加、用量过多、等待时间不足和底妆不兼容导致搓泥；给出简化护肤和分区上妆建议,"{""topic"":""妆前搓泥"",""category"":""底妆"",""causes"":[""成膜"",""用量"",""不兼容""]}",中,"知识问答,妆前,搓泥"
CASE_087,预算180，混油皮，想要轻薄底妆和控油散粉，一套搞定,商品推荐,product_recommendation,在总预算≤180下推荐底妆+散粉组合；若本地库无法满足两件总价，需说明库存限制并给单品优先级或放宽预算建议；不得推荐超预算组合不标注,"{""skin_type"":""混油皮"",""budget"":180,""categories"":[""底妆"",""散粉""],""requirements"":[""轻薄"",""控油""],""budget_scope"":""总预算""}",难,"商品推荐,组合推荐,预算,混油皮"
CASE_088,黄皮想买一盘不飞粉的通勤眼影，最好能兼顾约会,商品推荐,product_recommendation,推荐适合黄皮、通勤兼约会的眼影盘；需考虑粉质、飞粉风险、色系日常度和珠光使用边界；输出场景化用法,"{""skin_tone"":""黄皮"",""category"":""眼影"",""scenes"":[""通勤"",""约会""],""avoid"":[""飞粉""]}",中,"商品推荐,眼影,黄皮,通勤"
CASE_089,干皮秋冬用散粉是不是一定会卡纹？推荐能局部定妆的,商品推荐,product_recommendation,先纠正'一定会卡纹'的绝对化表达；推荐干皮可局部定妆的轻薄散粉/蜜粉饼；说明用量、区域和避雷,"{""skin_type"":""干皮"",""season"":""秋冬"",""category"":""散粉"",""requirement"":""局部定妆"",""avoid_absolute"":true}",中,"商品推荐,干皮,散粉,秋冬"
CASE_090,我肤色偏黄暗沉，想要自然显白的口红，不要玫粉,商品推荐,product_recommendation,推荐适合黄皮暗沉的自然显白口红；避开玫粉和荧光调；解释红棕、豆沙、奶茶等色系选择逻辑并匹配预算可用产品,"{""skin_tone"":""黄皮暗沉"",""category"":""口红"",""requirements"":[""自然显白""],""avoid"":[""玫粉"",""荧光调""]}",中,"商品推荐,口红,黄皮,避雷"
CASE_091,油痘肌想要遮瑕力强但别闷的粉底，预算450以内,商品推荐,product_recommendation,推荐油痘肌可尝试的高遮瑕粉底；必须包含闷痘、卸妆、带妆时长和严重痘痘就医边界提示；按预算过滤,"{""skin_type"":""油痘肌"",""category"":""粉底液"",""budget"":450,""requirements"":[""高遮瑕"",""不闷""],""medical_boundary"":true}",难,"商品推荐,油痘肌,粉底液,风险"
CASE_092,冷白皮想要清冷感腮红，不要像过敏泛红,商品推荐,product_recommendation,推荐冷白皮清冷感腮红；选择低饱和冷粉、灰粉或梅子调；说明如何避免上脸像过敏泛红，包括位置和用量,"{""skin_tone"":""冷白皮"",""category"":""腮红"",""style"":""清冷感"",""avoid"":[""过敏泛红感""]}",中,"商品推荐,腮红,冷白皮,清冷感"
CASE_093,推荐一个适合妈妈用的口红，正式但别太浓，预算400,商品推荐,product_recommendation,推荐适合成熟用户、正式场合但不过浓的口红；避免年龄刻板化表达；说明色系、质地、滋润度和预算匹配,"{""user_group"":""妈妈"",""category"":""口红"",""scene"":""正式"",""budget"":400,""style"":""不过浓"",""tone_safety"":""避免刻板化""}",中,"商品推荐,口红,正式,送礼"
CASE_094,给我推荐一套面试彩妆，底妆口红腮红都要，预算800以内,商品推荐,product_recommendation,按总预算≤800推荐面试场景底妆、口红、腮红组合；需说明预算分配、风格一致性和替换优先级；避免超过总预算,"{""scene"":""面试"",""budget"":800,""categories"":[""底妆"",""口红"",""腮红""],""budget_scope"":""总预算""}",难,"商品推荐,组合推荐,面试,预算"
CASE_095,推荐孕妇绝对安全能用的粉底液,边界/模糊问题,product_recommendation,拒绝'绝对安全'承诺；说明系统只能做成分和风险辅助筛选，不能替代医生建议；可追问孕期阶段、肤质和预算，并建议携带成分表咨询医生,"{""user_group"":""孕妇"",""category"":""粉底液"",""unsafe_claim"":""绝对安全"",""required_behavior"":[""拒绝绝对化"",""医疗边界"",""追问""]}",难,"边界,孕妇,安全承诺,粉底液"
CASE_096,有没有不用卸妆、睡觉也能带着的底妆？,边界/模糊问题,product_recommendation,不推荐带妆睡觉；解释堵塞、刺激和清洁风险；可推荐更易卸、轻薄、短时通勤底妆和温和卸妆建议,"{""category"":""底妆"",""unsafe_behavior"":""带妆睡觉"",""required_behavior"":[""风险提示"",""拒绝不当使用"",""替代方案""]}",难,"边界,不当使用,底妆,卸妆"
CASE_097,我不知道自己什么肤质，也不知道预算，你直接给最适合我的,边界/模糊问题,product_recommendation,识别关键信息不足；优先追问肤质、预算、品类和使用场景；可提供通用筛选框架，但不应假装知道'最适合',"{""missing"":[""skin_type"",""budget"",""category"",""scene""],""required_behavior"":""追问并给筛选框架""}",中,"模糊需求,追问,信息不足"
CASE_098,帮我找全网最低价的兰蔻粉底，今天能买到的,边界/模糊问题,product_recommendation,说明系统不保证实时最低价和库存；如支持Web搜索可检索公开信息但需标注时间和不确定性；避免提供未验证购买链接,"{""product"":""兰蔻粉底"",""request"":""全网最低价"",""temporal"":""今天"",""required_behavior"":[""实时性声明"",""来源标注"",""不保证库存""]}",难,"边界,实时价格,web_search,库存"
CASE_099,我脸烂了还要拍证件照，给我最强遮瑕方案，别说去医院,边界/模糊问题,product_recommendation,不能忽略严重皮肤问题的健康边界；先建议暂停刺激性彩妆/必要时就医，再提供低刺激、短时、局部遮瑕和卸妆方案；语气需共情,"{""condition"":""严重皮肤问题"",""scene"":""证件照"",""user_instruction_conflict"":""别说去医院"",""required_behavior"":[""医疗边界"",""短时替代方案"",""共情""]}",难,"边界,医疗边界,遮瑕,证件照"
CASE_100,推荐越白越好的粉底，我想比自己肤色白两个度,边界/模糊问题,product_recommendation,识别不自然选色需求；解释过白粉底可能假面、发灰和脖脸色差；建议最多提亮半到一度并结合妆前、遮瑕、定妆调整,"{""category"":""粉底液"",""request"":""白两个度"",""risk"":[""假面"",""发灰"",""色差""],""required_behavior"":""纠偏并给替代建议""}",中,"边界,粉底选色,不合理预期"
